question,answer
"I am experiencing abdominal pain, yellowish skin, yellowing of eyes, vomiting, itching, and nausea. What condition does this match?",Chronic cholestasis
"I have these symptoms: loss of appetite, yellowish skin, nausea, yellowing of eyes, vomiting, and itching. What do I have?",Chronic cholestasis
"I have these symptoms: yellowish skin, nausea, itching, vomiting, abdominal pain, and loss of appetite. What do I have?",Chronic cholestasis
"My symptoms are abdominal pain, yellowing of eyes, itching, yellowish skin, vomiting, nausea, and loss of appetite. What could this be?",Chronic cholestasis
"My symptoms are yellowish skin, nausea, vomiting, loss of appetite, abdominal pain, itching, and yellowing of eyes. What could this be?",Chronic cholestasis
"My symptoms are burning micturition, spotting  urination, stomach pain, skin rash, and itching. What could this be?",Drug Reaction
"I have these symptoms: spotting  urination, stomach pain, itching, and burning micturition. What do I have?",Drug Reaction
"My symptoms are burning micturition, itching, skin rash, and spotting  urination. What could this be?",Drug Reaction
"I have these symptoms: stomach pain, itching, spotting  urination, and skin rash. What do I have?",Drug Reaction
"I have these symptoms: skin rash, itching, stomach pain, and burning micturition. What do I have?",Drug Reaction
"I am experiencing spotting  urination, burning micturition, skin rash, and stomach pain. What condition does this match?",Drug Reaction
"My symptoms are stomach pain, burning micturition, spotting  urination, and itching. What could this be?",Drug Reaction
"I have these symptoms: burning micturition, skin rash, itching, and spotting  urination. What do I have?",Drug Reaction
"I have these symptoms: itching, stomach pain, skin rash, and spotting  urination. What do I have?",Drug Reaction
"I have these symptoms: itching, burning micturition, stomach pain, and skin rash. What do I have?",Drug Reaction
"I have these symptoms: passage of gases, loss of appetite, vomiting, abdominal pain, and internal itching. What do I have?",Peptic ulcer diseae
"I have these symptoms: internal itching, passage of gases, indigestion, vomiting, and abdominal pain. What do I have?",Peptic ulcer diseae
"I have these symptoms: internal itching, indigestion, passage of gases, abdominal pain, and loss of appetite. What do I have?",Peptic ulcer diseae
"I have these symptoms: passage of gases, internal itching, vomiting, loss of appetite, and abdominal pain. What do I have?",Peptic ulcer diseae
"My symptoms are vomiting, passage of gases, internal itching, indigestion, and abdominal pain. What could this be?",Peptic ulcer diseae
"I have these symptoms: indigestion, loss of appetite, passage of gases, internal itching, and vomiting. What do I have?",Peptic ulcer diseae
"My symptoms are vomiting, loss of appetite, internal itching, indigestion, and abdominal pain. What could this be?",Peptic ulcer diseae
"My symptoms are loss of appetite, abdominal pain, indigestion, passage of gases, and vomiting. What could this be?",Peptic ulcer diseae
"I have these symptoms: loss of appetite, abdominal pain, indigestion, vomiting, passage of gases, and internal itching. What do I have?",Peptic ulcer diseae
"I have these symptoms: internal itching, abdominal pain, indigestion, passage of gases, loss of appetite, and vomiting. What do I have?",Peptic ulcer diseae
"I have these symptoms: extra marital contacts, high fever, muscle wasting, and patches in throat. What do I have?",AIDS
"I am experiencing high fever, patches in throat, and extra marital contacts. What condition does this match?",AIDS
"My symptoms are high fever, muscle wasting, and extra marital contacts. What could this be?",AIDS
"I have these symptoms: patches in throat, muscle wasting, and extra marital contacts. What do I have?",AIDS
"I am experiencing patches in throat, muscle wasting, and high fever. What condition does this match?",AIDS
"I have these symptoms: extra marital contacts, muscle wasting, patches in throat, and high fever. What do I have?",AIDS
"I am experiencing muscle wasting, patches in throat, extra marital contacts, and high fever. What condition does this match?",AIDS
"I am experiencing extra marital contacts, high fever, and patches in throat. What condition does this match?",AIDS
"My symptoms are high fever, muscle wasting, and extra marital contacts. What could this be?",AIDS
"My symptoms are muscle wasting, patches in throat, and high fever. What could this be?",AIDS
"I have these symptoms: obesity, weight loss, excessive hunger, increased appetite, polyuria, irregular sugar level, restlessness, blurred and distorted vision, fatigue, and lethargy. What do I have?",Diabetes 
"I am experiencing increased appetite, irregular sugar level, excessive hunger, weight loss, fatigue, blurred and distorted vision, lethargy, restlessness, polyuria, and obesity. What condition does this match?",Diabetes 
"I have these symptoms: restlessness, lethargy, irregular sugar level, weight loss, polyuria, obesity, excessive hunger, blurred and distorted vision, and increased appetite. What do I have?",Diabetes 
"I am experiencing polyuria, irregular sugar level, blurred and distorted vision, excessive hunger, lethargy, obesity, restlessness, fatigue, and increased appetite. What condition does this match?",Diabetes 
"I have these symptoms: excessive hunger, blurred and distorted vision, weight loss, obesity, irregular sugar level, lethargy, increased appetite, fatigue, and polyuria. What do I have?",Diabetes 
"My symptoms are excessive hunger, weight loss, blurred and distorted vision, irregular sugar level, fatigue, polyuria, restlessness, obesity, and increased appetite. What could this be?",Diabetes 
"I am experiencing blurred and distorted vision, weight loss, lethargy, increased appetite, polyuria, obesity, fatigue, excessive hunger, and restlessness. What condition does this match?",Diabetes 
"I am experiencing polyuria, weight loss, restlessness, fatigue, increased appetite, excessive hunger, lethargy, obesity, and irregular sugar level. What condition does this match?",Diabetes 
"I am experiencing weight loss, increased appetite, polyuria, excessive hunger, lethargy, blurred and distorted vision, restlessness, irregular sugar level, and fatigue. What condition does this match?",Diabetes 
"I am experiencing fatigue, polyuria, weight loss, irregular sugar level, obesity, increased appetite, restlessness, lethargy, and blurred and distorted vision. What condition does this match?",Diabetes 
"I am experiencing sunken eyes, vomiting, dehydration, and diarrhoea. What condition does this match?",Gastroenteritis
"My symptoms are vomiting, dehydration, diarrhoea, and sunken eyes. What could this be?",Gastroenteritis
"My symptoms are diarrhoea, sunken eyes, and dehydration. What could this be?",Gastroenteritis
"I have these symptoms: diarrhoea, dehydration, and vomiting. What do I have?",Gastroenteritis
"I am experiencing vomiting, sunken eyes, and diarrhoea. What condition does this match?",Gastroenteritis
"I have these symptoms: dehydration, vomiting, and sunken eyes. What do I have?",Gastroenteritis
"I have these symptoms: dehydration, vomiting, diarrhoea, and sunken eyes. What do I have?",Gastroenteritis
"My symptoms are diarrhoea, dehydration, and sunken eyes. What could this be?",Gastroenteritis
"I have these symptoms: dehydration, diarrhoea, and vomiting. What do I have?",Gastroenteritis
"I have these symptoms: vomiting, diarrhoea, and sunken eyes. What do I have?",Gastroenteritis
"I am experiencing fatigue, high fever, family history, cough, mucoid sputum, and breathlessness. What condition does this match?",Bronchial Asthma
"I have these symptoms: family history, cough, mucoid sputum, high fever, and breathlessness. What do I have?",Bronchial Asthma
"My symptoms are high fever, family history, mucoid sputum, breathlessness, and fatigue. What could this be?",Bronchial Asthma
"I have these symptoms: fatigue, mucoid sputum, cough, breathlessness, and family history. What do I have?",Bronchial Asthma
"I am experiencing high fever, fatigue, cough, mucoid sputum, and family history. What condition does this match?",Bronchial Asthma
"My symptoms are mucoid sputum, high fever, breathlessness, cough, and fatigue. What could this be?",Bronchial Asthma
"I have these symptoms: high fever, cough, fatigue, family history, and breathlessness. What do I have?",Bronchial Asthma
"My symptoms are mucoid sputum, fatigue, cough, family history, high fever, and breathlessness. What could this be?",Bronchial Asthma
"My symptoms are mucoid sputum, family history, cough, high fever, and breathlessness. What could this be?",Bronchial Asthma
"I am experiencing family history, fatigue, high fever, breathlessness, and mucoid sputum. What condition does this match?",Bronchial Asthma
"I am experiencing headache, dizziness, loss of balance, chest pain, and lack of concentration. What condition does this match?",Hypertension 
"My symptoms are loss of balance, chest pain, dizziness, and lack of concentration. What could this be?",Hypertension 
"I am experiencing lack of concentration, dizziness, headache, and loss of balance. What condition does this match?",Hypertension 
"I have these symptoms: loss of balance, chest pain, lack of concentration, and headache. What do I have?",Hypertension 
"My symptoms are headache, lack of concentration, chest pain, and dizziness. What could this be?",Hypertension 
"I have these symptoms: dizziness, loss of balance, chest pain, and headache. What do I have?",Hypertension 
"My symptoms are lack of concentration, chest pain, dizziness, loss of balance, and headache. What could this be?",Hypertension 
"My symptoms are chest pain, lack of concentration, loss of balance, and dizziness. What could this be?",Hypertension 
"My symptoms are headache, loss of balance, dizziness, and lack of concentration. What could this be?",Hypertension 
"I am experiencing headache, lack of concentration, loss of balance, and chest pain. What condition does this match?",Hypertension 
"I have these symptoms: acidity, indigestion, irritability, stiff neck, excessive hunger, blurred and distorted vision, visual disturbances, depression, and headache. What do I have?",Migraine
"I have these symptoms: stiff neck, indigestion, blurred and distorted vision, visual disturbances, headache, depression, irritability, and excessive hunger. What do I have?",Migraine
"My symptoms are visual disturbances, irritability, blurred and distorted vision, excessive hunger, stiff neck, headache, acidity, and depression. What could this be?",Migraine
"I am experiencing excessive hunger, indigestion, acidity, stiff neck, visual disturbances, blurred and distorted vision, irritability, and depression. What condition does this match?",Migraine
"I have these symptoms: irritability, stiff neck, headache, acidity, excessive hunger, visual disturbances, depression, and indigestion. What do I have?",Migraine
"I am experiencing depression, headache, acidity, stiff neck, indigestion, irritability, visual disturbances, and blurred and distorted vision. What condition does this match?",Migraine
"My symptoms are visual disturbances, indigestion, irritability, headache, excessive hunger, acidity, blurred and distorted vision, and depression. What could this be?",Migraine
"I am experiencing excessive hunger, visual disturbances, stiff neck, indigestion, irritability, headache, blurred and distorted vision, and acidity. What condition does this match?",Migraine
"I have these symptoms: stiff neck, headache, acidity, indigestion, excessive hunger, visual disturbances, blurred and distorted vision, and depression. What do I have?",Migraine
"I am experiencing depression, headache, blurred and distorted vision, indigestion, stiff neck, acidity, irritability, and excessive hunger. What condition does this match?",Migraine
"I have these symptoms: weakness in limbs, loss of balance, dizziness, neck pain, and back pain. What do I have?",Cervical spondylosis
"My symptoms are weakness in limbs, neck pain, dizziness, loss of balance, and back pain. What could this be?",Cervical spondylosis
"My symptoms are loss of balance, weakness in limbs, dizziness, and neck pain. What could this be?",Cervical spondylosis
"I have these symptoms: loss of balance, neck pain, dizziness, and back pain. What do I have?",Cervical spondylosis
"I am experiencing back pain, loss of balance, dizziness, and weakness in limbs. What condition does this match?",Cervical spondylosis
"I am experiencing back pain, weakness in limbs, neck pain, and loss of balance. What condition does this match?",Cervical spondylosis
"My symptoms are neck pain, back pain, dizziness, and weakness in limbs. What could this be?",Cervical spondylosis
"I am experiencing neck pain, back pain, loss of balance, weakness in limbs, and dizziness. What condition does this match?",Cervical spondylosis
"I have these symptoms: neck pain, weakness in limbs, loss of balance, and dizziness. What do I have?",Cervical spondylosis
"My symptoms are back pain, loss of balance, dizziness, and neck pain. What could this be?",Cervical spondylosis
"My symptoms are vomiting, weakness of one body side, altered sensorium, and headache. What could this be?",Paralysis (brain hemorrhage)
"I have these symptoms: weakness of one body side, altered sensorium, headache, and vomiting. What do I have?",Paralysis (brain hemorrhage)
"My symptoms are headache, altered sensorium, and weakness of one body side. What could this be?",Paralysis (brain hemorrhage)
"My symptoms are altered sensorium, weakness of one body side, and vomiting. What could this be?",Paralysis (brain hemorrhage)
"My symptoms are vomiting, headache, and altered sensorium. What could this be?",Paralysis (brain hemorrhage)
"I am experiencing weakness of one body side, headache, and vomiting. What condition does this match?",Paralysis (brain hemorrhage)
"My symptoms are altered sensorium, weakness of one body side, headache, and vomiting. What could this be?",Paralysis (brain hemorrhage)
"I am experiencing altered sensorium, weakness of one body side, and headache. What condition does this match?",Paralysis (brain hemorrhage)
"I have these symptoms: weakness of one body side, vomiting, and altered sensorium. What do I have?",Paralysis (brain hemorrhage)
"I have these symptoms: altered sensorium, vomiting, and headache. What do I have?",Paralysis (brain hemorrhage)
"I am experiencing abdominal pain, weight loss, high fever, yellowish skin, itching, dark urine, fatigue, and vomiting. What condition does this match?",Jaundice
"My symptoms are fatigue, weight loss, itching, vomiting, abdominal pain, yellowish skin, high fever, and dark urine. What could this be?",Jaundice
"I am experiencing yellowish skin, weight loss, dark urine, vomiting, fatigue, high fever, and abdominal pain. What condition does this match?",Jaundice
"I am experiencing yellowish skin, fatigue, itching, dark urine, weight loss, abdominal pain, and high fever. What condition does this match?",Jaundice
"I have these symptoms: itching, high fever, abdominal pain, yellowish skin, weight loss, vomiting, and dark urine. What do I have?",Jaundice
"My symptoms are high fever, fatigue, dark urine, itching, vomiting, yellowish skin, and abdominal pain. What could this be?",Jaundice
"I am experiencing vomiting, weight loss, dark urine, yellowish skin, abdominal pain, itching, and fatigue. What condition does this match?",Jaundice
"I am experiencing vomiting, dark urine, fatigue, abdominal pain, high fever, itching, and weight loss. What condition does this match?",Jaundice
"I am experiencing itching, fatigue, weight loss, vomiting, yellowish skin, abdominal pain, and high fever. What condition does this match?",Jaundice
"I have these symptoms: fatigue, dark urine, yellowish skin, high fever, itching, weight loss, and vomiting. What do I have?",Jaundice
"I have these symptoms: sweating, vomiting, headache, high fever, chills, muscle pain, and nausea. What do I have?",Malaria
"I have these symptoms: headache, muscle pain, high fever, chills, vomiting, diarrhoea, nausea, and sweating. What do I have?",Malaria
"I am experiencing chills, muscle pain, high fever, headache, vomiting, sweating, nausea, and diarrhoea. What condition does this match?",Malaria
"I am experiencing diarrhoea, high fever, vomiting, sweating, muscle pain, nausea, and headache. What condition does this match?",Malaria
"I have these symptoms: headache, nausea, high fever, diarrhoea, chills, sweating, and muscle pain. What do I have?",Malaria
"I am experiencing chills, nausea, muscle pain, headache, vomiting, diarrhoea, and sweating. What condition does this match?",Malaria
"I have these symptoms: headache, nausea, chills, muscle pain, vomiting, diarrhoea, and high fever. What do I have?",Malaria
"I have these symptoms: sweating, vomiting, nausea, chills, high fever, muscle pain, and diarrhoea. What do I have?",Malaria
"I am experiencing headache, sweating, vomiting, diarrhoea, muscle pain, high fever, and chills. What condition does this match?",Malaria
"My symptoms are vomiting, sweating, headache, chills, high fever, muscle pain, and nausea. What could this be?",Malaria
"I am experiencing headache, itching, red spots over body, skin rash, loss of appetite, swelled lymph nodes, high fever, fatigue, lethargy, malaise, and mild fever. What condition does this match?",Chicken pox
"My symptoms are fatigue, mild fever, lethargy, skin rash, malaise, red spots over body, loss of appetite, headache, high fever, and swelled lymph nodes. What could this be?",Chicken pox
"I am experiencing high fever, headache, malaise, loss of appetite, red spots over body, mild fever, swelled lymph nodes, lethargy, fatigue, and itching. What condition does this match?",Chicken pox
"I am experiencing loss of appetite, headache, swelled lymph nodes, lethargy, skin rash, mild fever, itching, high fever, malaise, and red spots over body. What condition does this match?",Chicken pox
"I am experiencing fatigue, red spots over body, skin rash, swelled lymph nodes, itching, mild fever, loss of appetite, high fever, headache, and malaise. What condition does this match?",Chicken pox
"I have these symptoms: lethargy, mild fever, red spots over body, loss of appetite, fatigue, itching, swelled lymph nodes, malaise, headache, and skin rash. What do I have?",Chicken pox
"I am experiencing fatigue, malaise, red spots over body, mild fever, lethargy, swelled lymph nodes, loss of appetite, high fever, skin rash, and itching. What condition does this match?",Chicken pox
"I am experiencing skin rash, high fever, red spots over body, itching, mild fever, lethargy, fatigue, swelled lymph nodes, headache, and malaise. What condition does this match?",Chicken pox
"My symptoms are malaise, high fever, loss of appetite, lethargy, swelled lymph nodes, itching, fatigue, headache, skin rash, and red spots over body. What could this be?",Chicken pox
"I have these symptoms: fatigue, itching, skin rash, malaise, mild fever, high fever, loss of appetite, lethargy, headache, and red spots over body. What do I have?",Chicken pox
"I am experiencing loss of appetite, muscle pain, nausea, fatigue, headache, high fever, pain behind the eyes, skin rash, back pain, red spots over body, vomiting, joint pain, and chills. What condition does this match?",Dengue
"I am experiencing chills, malaise, red spots over body, headache, loss of appetite, vomiting, back pain, skin rash, joint pain, pain behind the eyes, fatigue, nausea, and high fever. What condition does this match?",Dengue
"I am experiencing loss of appetite, high fever, skin rash, back pain, fatigue, nausea, muscle pain, joint pain, pain behind the eyes, malaise, vomiting, headache, and chills. What condition does this match?",Dengue
"I have these symptoms: fatigue, pain behind the eyes, back pain, nausea, skin rash, muscle pain, joint pain, vomiting, headache, high fever, red spots over body, loss of appetite, malaise, and chills. What do I have?",Dengue
"My symptoms are joint pain, headache, malaise, fatigue, chills, red spots over body, nausea, loss of appetite, high fever, muscle pain, back pain, pain behind the eyes, and vomiting. What could this be?",Dengue
"My symptoms are vomiting, high fever, skin rash, muscle pain, back pain, loss of appetite, red spots over body, pain behind the eyes, malaise, fatigue, nausea, joint pain, and headache. What could this be?",Dengue
"My symptoms are red spots over body, fatigue, high fever, skin rash, headache, loss of appetite, muscle pain, malaise, vomiting, pain behind the eyes, back pain, chills, and nausea. What could this be?",Dengue
"I have these symptoms: back pain, red spots over body, loss of appetite, malaise, high fever, headache, joint pain, nausea, muscle pain, chills, pain behind the eyes, skin rash, and fatigue. What do I have?",Dengue
"I have these symptoms: chills, loss of appetite, skin rash, headache, muscle pain, nausea, joint pain, pain behind the eyes, back pain, red spots over body, malaise, vomiting, and high fever. What do I have?",Dengue
"My symptoms are back pain, fatigue, muscle pain, vomiting, skin rash, loss of appetite, pain behind the eyes, red spots over body, nausea, malaise, joint pain, headache, and chills. What could this be?",Dengue
"I have these symptoms: fatigue, chills, vomiting, nausea, belly pain, diarrhoea, toxic look (typhos), abdominal pain, high fever, and constipation. What do I have?",Typhoid
"My symptoms are constipation, headache, abdominal pain, fatigue, chills, belly pain, diarrhoea, high fever, toxic look (typhos), and vomiting. What could this be?",Typhoid
"I am experiencing fatigue, abdominal pain, vomiting, headache, belly pain, high fever, diarrhoea, toxic look (typhos), chills, and nausea. What condition does this match?",Typhoid
"My symptoms are fatigue, diarrhoea, constipation, vomiting, high fever, chills, headache, belly pain, toxic look (typhos), and nausea. What could this be?",Typhoid
"I am experiencing high fever, nausea, fatigue, vomiting, chills, belly pain, constipation, abdominal pain, toxic look (typhos), and headache. What condition does this match?",Typhoid
"I am experiencing fatigue, belly pain, high fever, headache, vomiting, nausea, diarrhoea, chills, constipation, and abdominal pain. What condition does this match?",Typhoid
"I am experiencing chills, fatigue, high fever, nausea, vomiting, constipation, diarrhoea, abdominal pain, headache, and toxic look (typhos). What condition does this match?",Typhoid
"I have these symptoms: belly pain, fatigue, nausea, diarrhoea, high fever, abdominal pain, toxic look (typhos), constipation, vomiting, chills, and headache. What do I have?",Typhoid
"My symptoms are nausea, toxic look (typhos), fatigue, belly pain, constipation, chills, diarrhoea, vomiting, high fever, abdominal pain, and headache. What could this be?",Typhoid
"My symptoms are headache, toxic look (typhos), belly pain, constipation, chills, fatigue, diarrhoea, nausea, abdominal pain, and high fever. What could this be?",Typhoid
"I have these symptoms: muscle pain, nausea, dark urine, joint pain, abdominal pain, yellowing of eyes, loss of appetite, mild fever, vomiting, diarrhoea, and yellowish skin. What do I have?",hepatitis A
"I have these symptoms: joint pain, loss of appetite, yellowing of eyes, nausea, vomiting, dark urine, yellowish skin, mild fever, diarrhoea, muscle pain, and abdominal pain. What do I have?",hepatitis A
"I am experiencing mild fever, dark urine, yellowish skin, yellowing of eyes, muscle pain, abdominal pain, loss of appetite, vomiting, nausea, and diarrhoea. What condition does this match?",hepatitis A
"I am experiencing loss of appetite, diarrhoea, dark urine, muscle pain, mild fever, joint pain, abdominal pain, nausea, yellowing of eyes, and yellowish skin. What condition does this match?",hepatitis A
"I have these symptoms: abdominal pain, loss of appetite, muscle pain, nausea, mild fever, joint pain, diarrhoea, dark urine, vomiting, and yellowing of eyes. What do I have?",hepatitis A
"I am experiencing nausea, joint pain, yellowing of eyes, loss of appetite, yellowish skin, muscle pain, abdominal pain, diarrhoea, vomiting, and mild fever. What condition does this match?",hepatitis A
"I am experiencing mild fever, loss of appetite, diarrhoea, joint pain, vomiting, yellowing of eyes, yellowish skin, abdominal pain, dark urine, and muscle pain. What condition does this match?",hepatitis A
"My symptoms are nausea, yellowing of eyes, abdominal pain, diarrhoea, mild fever, joint pain, dark urine, yellowish skin, muscle pain, and vomiting. What could this be?",hepatitis A
"My symptoms are dark urine, yellowing of eyes, loss of appetite, mild fever, muscle pain, vomiting, nausea, diarrhoea, yellowish skin, and joint pain. What could this be?",hepatitis A
"I am experiencing nausea, joint pain, muscle pain, dark urine, yellowing of eyes, mild fever, yellowish skin, vomiting, abdominal pain, and loss of appetite. What condition does this match?",hepatitis A
"I have these symptoms: loss of appetite, yellow urine, fatigue, dark urine, yellowish skin, lethargy, malaise, receiving unsterile injections, yellowing of eyes, itching, abdominal pain, and receiving blood transfusion. What do I have?",Hepatitis B
"I am experiencing itching, receiving blood transfusion, lethargy, abdominal pain, dark urine, yellow urine, yellowish skin, loss of appetite, fatigue, malaise, yellowing of eyes, and receiving unsterile injections. What condition does this match?",Hepatitis B
"My symptoms are loss of appetite, receiving unsterile injections, yellowing of eyes, malaise, dark urine, yellow urine, receiving blood transfusion, abdominal pain, yellowish skin, fatigue, and lethargy. What could this be?",Hepatitis B
"I am experiencing yellowing of eyes, yellowish skin, itching, receiving unsterile injections, yellow urine, lethargy, malaise, dark urine, receiving blood transfusion, loss of appetite, and abdominal pain. What condition does this match?",Hepatitis B
"My symptoms are malaise, yellowish skin, yellow urine, abdominal pain, itching, receiving unsterile injections, dark urine, loss of appetite, receiving blood transfusion, yellowing of eyes, and fatigue. What could this be?",Hepatitis B
"I have these symptoms: yellowing of eyes, abdominal pain, lethargy, dark urine, loss of appetite, itching, receiving unsterile injections, malaise, fatigue, yellow urine, and receiving blood transfusion. What do I have?",Hepatitis B
"My symptoms are receiving unsterile injections, loss of appetite, itching, yellowish skin, fatigue, yellow urine, receiving blood transfusion, malaise, yellowing of eyes, abdominal pain, and lethargy. What could this be?",Hepatitis B
"My symptoms are fatigue, lethargy, yellow urine, yellowish skin, malaise, abdominal pain, itching, receiving blood transfusion, dark urine, receiving unsterile injections, and yellowing of eyes. What could this be?",Hepatitis B
"My symptoms are loss of appetite, malaise, lethargy, yellow urine, itching, dark urine, receiving blood transfusion, fatigue, receiving unsterile injections, yellowish skin, and yellowing of eyes. What could this be?",Hepatitis B
"I have these symptoms: yellowing of eyes, receiving unsterile injections, itching, abdominal pain, dark urine, receiving blood transfusion, yellowish skin, fatigue, lethargy, loss of appetite, and malaise. What do I have?",Hepatitis B
"My symptoms are fatigue, family history, yellowish skin, loss of appetite, and nausea. What could this be?",Hepatitis C
"I am experiencing nausea, yellowing of eyes, fatigue, yellowish skin, family history, and loss of appetite. What condition does this match?",Hepatitis C
"My symptoms are loss of appetite, yellowish skin, family history, yellowing of eyes, and nausea. What could this be?",Hepatitis C
"My symptoms are loss of appetite, fatigue, family history, yellowing of eyes, and nausea. What could this be?",Hepatitis C
"I am experiencing fatigue, yellowing of eyes, family history, yellowish skin, and loss of appetite. What condition does this match?",Hepatitis C
"I am experiencing yellowing of eyes, fatigue, family history, yellowish skin, and nausea. What condition does this match?",Hepatitis C
"My symptoms are family history, loss of appetite, yellowish skin, nausea, and fatigue. What could this be?",Hepatitis C
"I have these symptoms: fatigue, yellowing of eyes, nausea, yellowish skin, and loss of appetite. What do I have?",Hepatitis C
"My symptoms are family history, yellowish skin, nausea, yellowing of eyes, fatigue, and loss of appetite. What could this be?",Hepatitis C
"My symptoms are loss of appetite, yellowish skin, fatigue, yellowing of eyes, nausea, and family history. What could this be?",Hepatitis C
"My symptoms are vomiting, yellowish skin, loss of appetite, fatigue, abdominal pain, nausea, joint pain, yellowing of eyes, and dark urine. What could this be?",Hepatitis D
"My symptoms are fatigue, yellowish skin, loss of appetite, vomiting, yellowing of eyes, nausea, dark urine, and abdominal pain. What could this be?",Hepatitis D
"I have these symptoms: dark urine, fatigue, yellowing of eyes, loss of appetite, abdominal pain, joint pain, nausea, and yellowish skin. What do I have?",Hepatitis D
"My symptoms are nausea, joint pain, abdominal pain, loss of appetite, dark urine, yellowing of eyes, vomiting, and yellowish skin. What could this be?",Hepatitis D
"My symptoms are dark urine, nausea, loss of appetite, joint pain, abdominal pain, vomiting, fatigue, and yellowing of eyes. What could this be?",Hepatitis D
"My symptoms are loss of appetite, fatigue, vomiting, yellowing of eyes, nausea, yellowish skin, joint pain, and abdominal pain. What could this be?",Hepatitis D
"I have these symptoms: loss of appetite, vomiting, fatigue, abdominal pain, dark urine, joint pain, yellowish skin, and yellowing of eyes. What do I have?",Hepatitis D
"My symptoms are vomiting, joint pain, yellowing of eyes, yellowish skin, dark urine, fatigue, nausea, and abdominal pain. What could this be?",Hepatitis D
"My symptoms are vomiting, loss of appetite, nausea, joint pain, yellowish skin, dark urine, yellowing of eyes, and fatigue. What could this be?",Hepatitis D
"I have these symptoms: yellowish skin, abdominal pain, vomiting, nausea, joint pain, dark urine, fatigue, and loss of appetite. What do I have?",Hepatitis D
"I have these symptoms: vomiting, abdominal pain, loss of appetite, nausea, stomach bleeding, coma, joint pain, dark urine, yellowing of eyes, high fever, yellowish skin, and fatigue. What do I have?",Hepatitis E
"My symptoms are abdominal pain, vomiting, loss of appetite, fatigue, high fever, coma, nausea, yellowing of eyes, joint pain, acute liver failure, stomach bleeding, dark urine, and yellowish skin. What could this be?",Hepatitis E
"I have these symptoms: acute liver failure, joint pain, nausea, yellowish skin, yellowing of eyes, fatigue, loss of appetite, vomiting, coma, dark urine, stomach bleeding, abdominal pain, and high fever. What do I have?",Hepatitis E
